,value
0,60.528317396390506
1,55.33142390767636
2,52.824344250258804
3,61.326114938531404
4,53.3714391160014
5,70.230747979481
6,56.14678536178086
7,69.7334018580697
8,60.387833541542086
9,60.808829735905
10,40.50370749333064
11,61.92877249028095
12,45.81480627669362
13,60.47528509990709
14,60.640057268501224
15,63.86337215575219
16,56.44096764492928
17,56.222970931535556
18,60.93242752018289
19,65.48616252522665
20,63.773277646207774
21,66.51514210119156
22,54.86912123090581
23,67.04213227942469
24,73.59844768961942
25,81.46980736575141
26,57.250984092002
27,55.58613179281018
28,45.56862510399232
29,59.10224146332964
30,65.81549086922456
31,43.288267852965646
32,60.03175469438914
33,61.88302040246397
34,55.37925206307143
35,46.12998106838714
36,69.80725037593105
37,55.62182839828171
38,47.24199090599096
39,59.501623956000444
40,66.44019637365957
41,57.38510510339494
42,60.656663269531144
43,75.22441842408661
44,80.70486014479165
45,51.84120915468473
46,59.56259082248865
47,68.46748832535631
48,60.496783935764604
49,64.32731132548953
50,68.71769448846129
51,37.10205691317178
52,58.42347679981762
53,71.12234128752961
54,52.62416424801973
55,77.6167906761913
56,77.14203800034946
57,55.19185122555286
58,46.55818160636604
59,67.49773091383427
60,66.11114589295887
61,44.55403899447853
62,63.81256286603823
63,49.24945616903314
64,75.57915056503742
65,48.34995344390378
66,86.04511337221568
67,58.72797502464737
68,55.21977175056616
69,51.01673482089515
70,69.36218545846242
71,72.70521930852186
72,54.937326460572834
73,86.21971915064668
74,60.91208915017966
75,55.00920768865939
76,58.959387481088896
77,62.9916721265749
78,60.758702863147576
79,47.173311111988575
80,60.698458302959004
81,72.10188719653644
82,50.12919701276283
83,57.25189614188379
84,66.75152255694454
85,66.74609834567174
86,47.76477979791582
87,53.58926548078436
88,54.54649930737538
89,69.03506392589728
90,68.64475509320577
91,56.528154082910575
92,79.62205622084208
93,60.58459538494193
94,68.89469196448333
95,61.80762636980573
96,65.83840487254713
97,70.35890238830594
98,34.56305888782995
99,70.33209068546667
100,65.25366212345797
101,72.38091102987772
102,59.442834424754416
103,70.46759838464929
104,68.31819702043929
105,42.77337706385248
106,69.4633900884685
107,67.29022714772954
108,69.48335290917545
109,63.0415032935297
110,65.97967771985213
111,46.525944153656226
112,64.60033402314176
113,50.95062244724808
114,71.07699800672029
115,57.850910390574825
116,68.8366988257619
117,63.82434690621714
118,49.4336261672461
119,58.235934553637435
120,55.88385041119656
121,78.92681042366485
122,58.52322173144054
123,71.64837337441644
124,67.06745308740479
125,59.377079296279604
126,60.069982584624135
127,65.80434860980947
128,61.98304400364117
129,51.910548208499165
130,66.96339018627692
131,56.32573008660427
132,72.45292401268564
133,93.6934789324774
134,47.4396312188623
135,49.02934692858091
136,59.45346495083603
137,50.19116585854023
138,51.824280352478596
139,71.09025108457755
140,49.099003499732746
141,58.85110230596165
142,56.10952376768371
143,58.691147637170104
144,76.54957267244143
145,59.401268794422
146,66.47469972981406
147,60.902717162864455
148,59.850317991946525
149,56.70704161869779
150,65.97643456469719
151,65.48706687955709
152,52.123694488677216
153,45.99352178034745
154,64.51339443348482
155,67.29923843511065
156,65.64110393803799
157,48.25323247861262
158,62.94100866681939
159,70.44984665422884
160,80.96348566953594
161,74.59937752266904
162,53.67353110116095
163,67.07562658368202
164,73.28799829911827
165,58.13150285602488
166,68.85234901924206
167,57.71874669125931
168,72.80229998608708
169,44.909426105695786
170,54.6038127098644
171,52.21529296378452
172,77.24769592761197
173,55.116864432437296
174,65.81947826765939
175,47.06838503826353
176,54.965705315404016
177,65.85236292458364
178,52.90757256150218
179,69.30173432052219
180,75.1456228697757
181,76.0947071105212
182,74.14421096008337
183,51.997036463985594
184,52.85633286156239
185,44.867784517530836
186,64.69014460286093
187,81.97850401231288
188,63.19378296806107
189,76.95838246271477
190,69.04128514457979
191,77.71881727855427
192,61.1090887716453
193,74.0830251117167
194,74.30776026214053
195,69.35221624314084
196,63.32218085066149
197,48.53888605619762
198,60.371947842670025
199,76.42333459030422
200,57.37629238085935
201,57.02677978241335
202,86.52123474328185
203,56.721203717440645
