ts,heatpump_cop_gs,heatpump_cop_as,pv_availability_factor,wind_availability_factor
1,4.62,2.9,0,0.229
2,4.62,2.9,0,0.238
3,4.62,2.9,0,0.261
4,4.62,2.9,0,0.267
5,4.63,2.91,0,0.294
6,4.48,2.85,0,0.367
7,4.48,2.85,0,0.464
8,4.48,2.85,0.017,0.556
9,4.48,2.85,0.052,0.539
10,4.48,2.85,0.109,0.523
11,4.48,2.85,0.169,0.547
12,5.04,3.06,0.216,0.635
13,5.04,3.07,0.188,0.722
14,5.04,3.07,0.15,0.811
15,5.04,3.07,0.038,0.87
16,5.04,3.07,0,0.896
17,5.04,3.07,0,0.915
18,4.65,2.91,0,0.933
19,4.65,2.91,0,0.928
20,4.65,2.91,0,0.933
21,4.65,2.91,0,0.933
22,4.65,2.91,0,0.933
23,4.65,2.91,0,0.938
24,4.56,2.87,0,0.936
25,4.56,2.87,0,0.95
26,4.56,2.87,0,0.956
27,4.56,2.87,0,0.96
28,4.56,2.88,0,0.975
29,4.56,2.88,0,0.987
30,4.67,2.92,0,0.987
31,4.67,2.92,0,0.978
32,4.67,2.92,0.034,0.966
33,4.67,2.92,0.175,0.953
34,4.67,2.92,0.326,0.959
35,4.66,2.92,0.299,0.968
36,5.07,3.07,0.167,0.968
37,5.07,3.07,0.112,0.961
38,5.07,3.07,0.054,0.954
39,5.07,3.07,0.01,0.944
40,5.07,3.07,0,0.929
41,5.07,3.07,0,0.912
42,4.93,3.01,0,0.898
43,4.93,3.01,0,0.896
44,4.93,3.01,0,0.896
45,4.93,3.01,0,0.889
46,4.93,3.01,0,0.881
47,4.92,3.01,0,0.855
48,4.63,2.88,0,0.84
49,4.64,2.88,0,0.844
50,4.64,2.88,0,0.878
51,4.64,2.88,0,0.889
52,4.64,2.89,0,0.89
53,4.64,2.89,0,0.91
54,4.45,2.82,0,0.928
55,4.45,2.82,0,0.93
56,4.45,2.82,0.061,0.925
57,4.45,2.82,0.158,0.926
58,4.45,2.82,0.233,0.927
59,4.45,2.82,0.189,0.917
60,5.26,3.12,0.085,0.887
61,5.26,3.12,0.034,0.867
62,5.26,3.12,0.015,0.885
63,5.26,3.12,0.001,0.875
64,5.27,3.12,0,0.788
65,5.27,3.12,0,0.713
66,5.19,3.1,0,0.715
67,5.19,3.1,0,0.715
68,5.19,3.1,0,0.711
69,5.19,3.1,0,0.681
70,5.19,3.09,0,0.633
71,5.19,3.09,0,0.611
72,5.29,3.12,0,0.638
73,5.29,3.12,0,0.657
74,5.29,3.12,0,0.67
75,5.29,3.13,0,0.682
76,5.29,3.13,0,0.682
77,5.29,3.13,0,0.683
78,5.43,3.18,0,0.687
79,5.43,3.18,0,0.674
80,5.43,3.17,0.128,0.619
81,5.43,3.17,0.326,0.678
82,5.43,3.17,0.34,0.714
83,5.43,3.17,0.283,0.674
84,5.75,3.28,0.195,0.607
85,5.75,3.28,0.113,0.566
86,5.75,3.28,0.037,0.465
87,5.75,3.28,0.004,0.358
88,5.75,3.28,0,0.357
89,5.75,3.29,0,0.409
90,5.58,3.23,0,0.51
91,5.58,3.23,0,0.607
