ex07_plant_wind_availability_factor,ex07_demand1_value,ex07_demand2_value,ex08_pv,ex08_demand,ex15_cop,ex15_cop_minconversion,ex15_heatdemand,ex17_capacity
0.88,2.06,4.88,0,0,2.12,1.484,45,5
0.07,4.11,3.32,0,0,2.12,1.484,45,3
0.87,4.07,1.53,0.02,0,2.12,1.484,46,1
0.31,0.36,1.11,0.07,0,2.12,1.484,47,10
0.62,0.63,2.42,0.16,0,2.12,1.484,50,
0.9,0.51,3.22,0.26,0.3,2.12,1.484,55,
0.44,1.72,0.68,0.45,0.5,2.12,1.484,71,
0.96,4.05,4.18,0.66,0.75,2.09,1.463,86,
0.78,0.3,1.15,0.76,0.75,2.09,1.463,83,
0.41,1.35,2.86,0.88,0.75,2.09,1.463,83,
0.74,0.29,4.74,1,0.75,2.09,1.463,79,
0.07,1.94,2.41,1,0.75,2.09,1.463,76,
0.15,4.02,3.02,1,0.75,2.09,1.463,73,
0.37,3.77,0.52,0.95,0.75,2.18,1.526,71,
0.36,0.48,1.88,0.81,0.75,2.18,1.526,70,
0.79,2.61,1.91,0.66,0.75,2.18,1.526,70,
0.4,0.87,4.22,0.44,0.75,2.18,1.526,71,
0.32,2.55,0.82,0.26,0.5,2.18,1.526,74,
0.64,1.87,1.61,0.16,0.3,2.18,1.526,75,
0.8,0.44,3.63,0.06,0.2,2.08,1.456,74,
0.06,0.67,4.14,0.02,0.1,2.08,1.456,74,
0.07,1.88,0.47,0.01,0,2.08,1.456,71,
0.31,3.56,3.45,0,0,2.08,1.456,65,
0.35,2.08,4.94,0,0,2.08,1.456,55,
0.59,4.63,0.93,,,2.08,1.456,47,
0.24,4.52,0.48,,,2.02,1.414,48,
0.48,0.32,4.95,,,2.02,1.414,49,
0.22,2.15,2.79,,,2.02,1.414,50,
0.09,2.29,1.31,,,2.02,1.414,53,
0.37,3.81,1.73,,,2.02,1.414,57,
0.96,0.05,3.88,,,2.02,1.414,74,
0.43,1.15,2.97,,,1.99,1.393,90,
0.03,1.39,1.14,,,1.99,1.393,86,
0.59,3.25,4.82,,,1.99,1.393,86,
0.8,0.44,1.29,,,1.99,1.393,82,
