,value
0,52.297361485459774
1,56.61973297047265
2,42.61258141372143
3,43.698583349008416
4,35.639056760901184
5,77.53163956935597
6,64.62383394953177
7,67.40089127609735
8,47.32909433637245
9,59.11949175170234
10,42.75499833715179
11,46.08520631981037
12,73.44223078922445
13,39.979546501406
14,59.6565376340454
15,34.918073923071745
16,35.935021350161456
17,27.48546864238143
18,36.57456923568152
19,43.72753937916823
20,58.57770472809922
21,46.100551801452305
22,57.39103558393983
23,58.069578684061575
24,39.52342739936856
25,53.96230912185634
26,74.31611698073024
27,26.66241446346082
28,81.57268605488477
29,13.700584365553915
30,25.14845836207307
31,62.05561942464044
32,48.558050048218014
33,53.94824030035811
34,70.86035979791598
35,17.351385462201236
36,57.50004614108313
37,49.169715428986564
38,66.6851748727787
39,63.454727131878826
40,58.86260594290944
41,50.02801071043682
42,56.66490301576965
43,68.76215025244905
44,46.49313044579026
45,34.08974994239068
46,45.9668973816048
47,56.0802034048705
48,43.664356677273936
49,41.214111830623615
50,68.80343002925548
51,59.6310082192535
52,35.26240039019425
53,64.3231788007235
54,58.44179590120861
55,49.28945807875802
56,33.59321052397283
57,66.335761105452
58,47.02117084197074
59,49.864514799167736
60,43.761110800183594
61,19.14877859108494
62,59.23783652503194
63,49.659675281294646
64,40.69031061057594
65,34.43472093829908
66,79.34483946990122
67,41.887247642704565
68,67.87417952003813
69,62.29157027698342
70,58.44211297947703
71,47.017389933273996
72,56.98143684881496
73,82.31203586237417
74,75.59523873658368
75,57.784792328113156
76,56.958324660600695
77,52.953131565675655
78,46.08488911017237
79,66.60422617876047
80,70.11980760743916
81,31.752479112207837
82,85.96705190587835
83,40.32265470769746
84,41.052024976372735
85,66.88746210868214
86,59.56303977696007
87,80.86663794389602
88,28.83138521619577
89,54.70761786848165
90,63.31436906534515
91,46.8729339317415
92,46.94861977741602
93,38.24176658157378
94,48.180616531934675
95,63.232793092046165
96,62.8721879986282
97,51.89070099810944
98,66.42393294530322
99,18.30033425985703
100,27.864388179314133
101,38.242127614472416
102,101.40734924439438
103,49.12888070990898
104,49.25823011433967
105,56.40075952900093
106,56.95654702243659
107,103.84454798475406
108,60.51986771629193
109,18.551334719830564
110,57.69722422694187
111,35.62418839573491
112,82.97005992019963
113,69.35435121270126
114,45.1385256144911
115,43.7912883407949
116,44.56749968257641
117,62.692570620017015
118,66.00032739137092
119,72.60877253984258
120,66.1842393680626
121,20.97817560037616
122,61.88203320964893
123,43.50563656807849
124,52.35497792849122
125,56.213068388476444
126,12.914458360818216
127,69.96855554846925
128,73.25477036582298
129,72.66538507171563
130,59.6833915566595
131,54.335713694558386
132,52.06894997003356
133,53.440563793022825
134,59.056670711249254
135,56.35053721336538
136,24.350412218268612
137,29.906617001740116
138,78.9135071025896
139,43.810547480756256
140,64.69855627899774
141,45.48563374527469
142,65.02405409781076
143,59.02955356023063
144,40.134643965715824
145,47.55898063037829
146,56.976835885500655
147,38.34900359729761
148,51.83767024998888
149,29.960881535960016
150,55.97191410376256
151,99.93289474029137
152,46.20072999414127
153,49.689812619522186
154,51.4195542874406
155,48.543363900319584
156,74.41190262797747
157,55.95194498186169
158,66.74790462646223
159,35.55797576398895
160,57.13008164313826
161,47.652295405748625
162,48.643263139660995
163,40.337115501057376
164,36.87458913278714
165,53.993056301939774
166,46.38386479098778
167,52.3887363795785
168,47.43879931870096
169,45.993670174039146
170,51.50332471312183
171,39.10367807169987
172,64.50635658471701
173,68.93127037803123
174,40.900977516934624
175,51.10789071928103
176,61.09795839017817
177,58.24706118698664
178,46.77931636105704
179,67.59408309962213
180,69.12135056964183
181,55.54792250927115
182,58.223214274894225
183,33.312623683470626
184,33.99325171979633
185,42.900450952986375
186,44.70122486403422
187,85.57562941376554
188,56.229992559741014
189,56.91323946145013
190,54.60511176600096
191,27.48064343635623
192,33.74236540303883
193,73.41710152521657
194,57.796658058310165
195,50.91132626498519
196,78.66067861371909
197,42.51259132569632
198,64.53872986553492
199,47.27522918343552
200,66.46378399500075
201,74.83038353156041
202,42.86914421772118
203,82.40460869392999
204,56.342592918611096
205,49.21853136930439
206,61.86328003415726
207,53.25667086807005
208,73.98675280700391
209,40.96768152785175
210,59.4502862830026
